date,port_ret,port_ret_net,nav,value
20250721,0.0024628949822006695,0.0019628949822006695,1.056969715826929,10569697.158269288
20250722,0.000608998931721394,0.00010899893172139396,1.057084924396816,10570849.243968159
20250723,0.003229510564076066,0.002729510564076066,1.0599702488650826,10599702.488650827
20250724,0.0013264589472457566,0.0008264589472457566,1.0608462707610715,10608462.707610715
20250725,0.001815562481719879,0.001315562481719879,1.0622418803137572,10622418.803137572
20250728,0.0011519597701866169,0.0006519597701866169,1.0629344192859291,10629344.192859292
20250729,0.0006840186270131943,0.00018401862701319428,1.0631300190183712,10631300.190183712
20250730,-0.000626632557817397,-0.0011266325578173971,1.061932262125752,10619322.621257521
20250731,0.001407372566218812,0.0009073725662188119,1.0628958303275877,10628958.303275878
20250801,-0.0016687890163572417,-0.002168789016357242,1.0605906335252413,10605906.335252414
20250804,0.0035946966512048427,0.0030946966512048427,1.0638728398071111,10638728.39807111
20250805,0.00228209514478529,0.0017820951447852901,1.0657687624296004,10657687.624296004
20250806,0.005917888507592029,0.005417888507592028,1.0715429787593183,10715429.787593182
20250807,0.001776462373498089,0.001276462373498089,1.0729107630532906,10729107.630532905
20250808,0.0056812967952659995,0.005181296795265999,1.078469832151505,10784698.32151505
20250811,0.0018465326032542251,0.0013465326032542251,1.079922026942123,10799220.269421231
20250812,0.0033771844025705655,0.0028771844025705655,1.0830291617540333,10830291.617540333
20250813,0.0008642752411278098,0.00036427524112780984,1.0834236824630799,10834236.824630799
20250814,-0.000059499954336761364,-0.0005594999543367614,1.0828175069622143,10828175.069622144
20250815,0.0030796992447226224,0.0025796992447226223,1.0856108504670972,10856108.504670972
20250818,0.005278045729580327,0.004778045729580327,1.0907979487551576,10907979.487551576
20250819,-0.0005524409186517976,-0.0010524409186517976,1.0896499483599063,10896499.483599063
20250820,0.0014930749750581506,0.0009930749750581506,1.090732052455196,10907320.52455196
20250821,-0.00017012404643774738,-0.0006701240464377473,1.0900011266786254,10900011.266786253
20250822,0.001294531040214031,0.0007945310402140309,1.0908671664076397,10908671.664076397
20250825,0.0008320560342074179,0.0003320560342074179,1.091229395432764,10912293.954327641
20250826,0.003309491692840505,0.002809491692840505,1.0942951953542157,10942951.953542158
20250827,0.003663268170494527,0.003163268170494527,1.0977567445148049,10977567.445148049
20250828,0.002027696502632148,0.001527696502632148,1.099433783654141,10994337.83654141
20250829,0.00427799177612469,0.0037779917761246898,1.10358743544718,11035874.354471799
20250901,0.0007612951678711233,0.0002612951678711233,1.1038757975113855,11038757.975113856
20250902,0.0028749912316865635,0.0023749912316865635,1.1064974928513462,11064974.928513462
20250903,0.002556808253488141,0.002056808253488141,1.108773346027107,11087733.46027107
20250904,0.0006869284189821801,0.00018692841898218006,1.1089806072756894,11089806.072756894
20250905,-0.0004905278756907938,-0.000990527875690794,1.1078821310705824,11078821.310705824
20250908,-0.002452347481146022,-0.002952347481146022,1.1046112780515094,11046112.780515093
20250909,0.0004369180251223237,-0.0000630819748776763,1.1045415969906178,11045415.969906177
20250910,-0.0008553991419573692,-0.0013553991419573692,1.1030445022578006,11030445.022578007
20250911,0.0016804304802649828,0.0011804304802649828,1.1043465696093544,11043465.696093544
20250912,0.005891484073104136,0.005391484073104136,1.1103006365505905,11103006.365505906
20250915,0.00232092887974118,0.00182092887974118,1.1123224150448807,11123224.150448807
20250916,-0.0006240905935863794,-0.0011240905935863794,1.1110720638810934,11110720.638810934
20250917,-0.0010355237344953027,-0.0015355237344953027,1.1093659863562693,11093659.863562692
20250918,0.00947436237353989,0.00897436237353989,1.11932183872271,11193218.3872271
20250919,0.0018333043899964596,0.0013333043899964596,1.120814235444098,11208142.35444098
